ECGI_Raw,PCI,1F_UARFCN,制式,TAC,经度,维度,方向角,下倾角,天线挂高,小区类型,参考信号功率,A,B,ECGI
10736139,478,1650,L1800,6146,121.52004,31.23232,360,0,0,微小区,152,41938,11,10738966
10736395,472,1650,L1800,6204,121.62508,31.21336,360,0,0,微小区,152,41939,11,10739222
10736405,442,1650,L1800,6204,121.62508,31.21336,360,0,0,微小区,152,41939,21,10739232
10736651,486,1650,L1800,6265,121.55793,31.21276,360,0,0,微小区,152,41940,11,10739478
10736661,487,1650,L1800,6265,121.55793,31.21276,360,0,0,微小区,152,41940,21,10739488
10736666,487,1506,L1800,6265,121.55793,31.21276,360,0,0,微小区,122,41940,26,10739493
10736907,471,1650,L1800,6193,121.52578,31.16954,360,0,0,微小区,122,41941,11,10739734
10736917,472,1650,L1800,6193,121.52578,31.16954,360,0,0,微小区,122,41941,21,10739744
10736927,473,1650,L1800,6193,121.52578,31.16954,360,0,0,微小区,122,41941,31,10739754
10736937,474,1650,L1800,6193,121.52578,31.16954,360,0,0,微小区,122,41941,41,10739764
10737163,495,1650,L1800,6146,121.51585,31.23117,360,0,0,微小区,152,41942,11,10739990
10737173,496,1650,L1800,6146,121.51585,31.23117,360,0,0,微小区,152,41942,21,10740000
10737183,497,1650,L1800,6146,121.51585,31.23117,360,0,0,微小区,152,41942,31,10740010
10737419,462,1650,L1800,6146,121.51983,31.23169,360,0,0,微小区,152,41943,11,10740246
10737429,463,1650,L1800,6146,121.51983,31.23169,360,0,0,微小区,152,41943,21,10740256
10737675,465,1650,L1800,6265,121.55868,31.20765,360,0,0,微小区,152,41944,11,10740502
10737685,466,1650,L1800,6265,121.55868,31.20765,360,0,0,微小区,152,41944,21,10740512
10737931,482,1650,L1800,6197,121.55576,31.19504,360,0,0,微小区,152,41945,11,10740758
10738187,494,1650,L1800,6182,121.63281,31.33896,360,0,0,微小区,152,41946,11,10741014
10738443,497,1650,L1800,6145,121.54399,31.22844,360,0,0,微小区,152,41947,11,10741270
10738453,486,1650,L1800,6145,121.54399,31.22844,360,0,0,微小区,152,41947,21,10741280
10738955,471,1650,L1800,6265,121.55349,31.22821,360,0,0,微小区,152,41949,11,10741782
10738965,472,1650,L1800,6265,121.55349,31.22821,360,0,0,微小区,152,41949,21,10741792
10738975,473,1650,L1800,6265,121.55349,31.22821,360,0,0,微小区,152,41949,31,10741802
10738985,466,1650,L1800,6265,121.53283,31.19382,360,0,0,微小区,122,41949,41,10741812
10738995,469,1650,L1800,6265,121.5524292,31.2280566,360,0,0,微小区,152,41949,51,10741822
10739211,492,1650,L1800,6198,121.54593,31.22456,360,0,0,微小区,152,41950,11,10742038
10739221,493,1650,L1800,6198,121.54593,31.22456,360,0,0,微小区,152,41950,21,10742048
10739231,463,1650,L1800,6198,121.54593,31.22456,360,0,0,微小区,152,41950,31,10742058
10739723,488,1650,L1800,6266,121.51679,31.29876,360,0,0,微小区,152,41952,11,10742550
10739733,489,1650,L1800,6266,121.51679,31.29876,360,0,0,微小区,152,41952,21,10742560
10739743,490,1650,L1800,6266,121.51679,31.29876,360,0,0,微小区,152,41952,31,10742570
10739753,491,1650,L1800,6266,121.51679,31.29876,360,0,0,微小区,152,41952,41,10742580
10739763,492,1650,L1800,6266,121.51679,31.29876,360,0,0,微小区,152,41952,51,10742590
10739727,375,1825,L1800,23301,121.51679,31.29876,360,0,0,微小区,124,41952,15,10742554
10739737,393,1825,L1800,23301,121.51679,31.29876,360,0,0,微小区,124,41952,25,10742564
10739747,394,1825,L1800,23301,121.51679,31.29876,360,0,0,微小区,124,41952,35,10742574
10739757,395,1825,L1800,23301,121.51679,31.29876,360,0,0,微小区,124,41952,45,10742584
10739767,412,1825,L1800,23301,121.51679,31.29876,360,0,0,微小区,124,41952,55,10742594
10739979,471,1650,L1800,6147,121.41113,31.6382,360,0,0,微小区,152,41953,11,10742806
10739989,472,1650,L1800,6147,121.41113,31.6382,360,0,0,微小区,152,41953,21,10742816
10739999,473,1650,L1800,6147,121.41113,31.6382,360,0,0,微小区,152,41953,31,10742826
10740009,474,1650,L1800,6147,121.41113,31.6382,360,0,0,微小区,152,41953,41,10742836
10740491,472,1650,L1800,6146,121.5124,31.23219,360,0,0,微小区,152,41955,11,10743318
10740501,473,1650,L1800,6146,121.5124,31.23219,360,0,0,微小区,152,41955,21,10743328
10742027,411,1650,L1800,6146,121.4978,31.24026,360,0,0,微小区,152,41961,11,10744854
10743307,474,1650,L1800,6200,121.52757,31.2439,360,0,0,微小区,152,41966,11,10746134
10743317,475,1650,L1800,6200,121.52757,31.2439,360,0,0,微小区,152,41966,21,10746144
10743563,480,1650,L1800,6248,121.49674,31.37835,360,0,0,微小区,152,41967,11,10746390
10743573,481,1650,L1800,6248,121.49674,31.37835,360,0,0,微小区,152,41967,21,10746400
10743583,482,1650,L1800,6248,121.49674,31.37835,360,0,0,微小区,152,41967,31,10746410
10745099,468,1650,L1800,6163,121.574428,31.30314,360,0,0,微小区,182,41973,11,10747926
10745355,478,1650,L1800,6163,121.574428,31.30314,360,0,0,微小区,182,41974,11,10748182
10745867,473,1650,L1800,6264,121.37973,31.2068,360,0,0,微小区,182,41976,11,10748694
10746123,482,1650,L1800,6266,121.51811,31.30417,360,0,0,微小区,152,41977,11,10748950
10747915,433,1650,L1800,6146,121.50135,31.24414,360,0,0,微小区,152,41984,11,10750742
10747925,95,1650,L1800,6146,121.50135,31.24414,360,0,0,微小区,152,41984,21,10750752
10747919,341,1825,L1800,23311,121.50135,31.24414,360,0,0,微小区,124,41984,15,10750746
10747929,358,1825,L1800,23311,121.50135,31.24414,360,0,0,微小区,124,41984,25,10750756
10748683,483,1650,L1800,6261,121.42091,31.22743,360,0,0,微小区,152,41987,11,10751510
10752011,494,1650,L1800,6263,121.4019,31.20459,360,0,0,微小区,152,42000,11,10754838
10752021,495,1650,L1800,6263,121.4019,31.20459,360,0,0,微小区,152,42000,21,10754848
10752031,496,1650,L1800,6263,121.4019,31.20459,360,0,0,微小区,152,42000,31,10754858
10752267,218,1650,L1800,6146,121.499538,31.244764,360,0,0,微小区,152,42001,11,10755094
10752277,414,1650,L1800,6146,121.499538,31.244764,360,0,0,微小区,152,42001,21,10755104
10752287,194,1650,L1800,6146,121.499538,31.244764,360,0,0,微小区,152,42001,31,10755114
10752297,217,1650,L1800,6146,121.499538,31.244764,360,0,0,微小区,152,42001,41,10755124
10756363,488,1650,L1800,6261,121.4398,31.22218,360,0,0,微小区,152,42017,11,10759190
10756373,489,1650,L1800,6261,121.4398,31.22218,360,0,0,微小区,152,42017,21,10759200
10756383,490,1650,L1800,6261,121.4398,31.22218,360,0,0,微小区,152,42017,31,10759210
10756619,489,1650,L1800,6260,121.44271,31.22707,360,0,0,微小区,152,42018,11,10759446
10756629,490,1650,L1800,6260,121.44271,31.22707,360,0,0,微小区,152,42018,21,10759456
10756639,491,1650,L1800,6260,121.44271,31.22707,360,0,0,微小区,152,42018,31,10759466
10756649,475,1506,L1800,6260,121.44271,31.22707,360,0,0,微小区,152,42018,41,10759476
10757643,470,1650,L1800,6263,121.40066,31.20543,360,0,0,微小区,152,42022,11,10760470
10757653,471,1650,L1800,6263,121.40066,31.20543,360,0,0,微小区,152,42022,21,10760480
